name, genre, timeCinema, contentRating, company, duration, synopsis, rating, box-office
Me and You and Everyone We Know,"['Art House & International', 'Comedy', 'Drama']",2005-06-23T17:00:00-07:00,R,IFC Films,P90M,"
    'Me and You and Everyone We Know' is a poetic and penetrating observation of how people struggle to connect with one another in an isolating and contemporary world. Christine Jesperson is a lonely artist and ""Eldercab"" driver who uses her fantastical artistic visions to draw her aspirations and objects of desire closer to her. Richard Swersey (John Hawkes), a newly single shoe salesman and father of two boys, is prepared for amazing things to happen. But when he meets the captivating Christine, he panics. Life is not so oblique for Richard's seven-year-old Robby, who is having a risqué internet romance with a stranger, and his fourteen- year-old brother Peter who becomes the guinea pig for neighborhood girls -- practicing for their future of romance and marriage.",82,"$3,800,000"
Memoirs of a Geisha,"['Drama', 'Romance']",2005-12-15T16:00:00-08:00,PG13,Sony Pictures,P105M,"
    In the years before World War II, a Japanese child is torn from her penniless family to work as a maid in a geisha house. Despite a treacherous rival who nearly breaks her spirit, the girl blossoms into the legendary geisha Sayuri. Beautiful and accomplished, Sayuri captivates the most powerful men of her day, but is haunted by her secret love for the one man who is out of her reach.",35,"$57,000,000"
Match Point,"['Drama', 'Mystery & Suspense']",2005-12-27T16:00:00-08:00,R,Dreamworks,P124M,"
    A clandestine love affair sends one man's charmed life into a tailspin in this dark, disturbing drama written and directed by Woody Allen, his first film set and shot in Great Britain and one his few films sans any humor. Chris Wilton (Jonathan Rhys-Meyers) is an Irish tennis player with an impoverished background. Just accomplished enough to make his way onto the professional circuit, but not skilled enough to be a consistent winner, he now works as an instructor at a London tennis club. The wealthy Tom Hewett (Matthew Goode), who is as impressed by Chris's charm and good looks as he is by his game, takes a tennis lesson from the young man. Chris's intelligence and wit also make a strong impression on Tom's pretty sister, Chloe (Emily Mortimer), who soon falls for him. It isn't long before Chris and Chloe are engaged to be married, a match that pleases both Tom and his father, Alec (Brian Cox), a successful businessman who believes Chris has a bright future in his firm. However, Chris also feels an overwhelming attraction to Nola Rice (Scarlett Johansson), a sexy blonde from the United States who is dating Tom. Though Nola initially puts up some resistance, Chris gently nudges her in the direction of an affair. Passion soon ignites between the two, and they have a one-time sexual encounter, even as Chris and Chloe plan their wedding. Nola resists, however, when Chris makes additional attempts to wheedle her into bed. Nola drops out of Chris's life shortly before his wedding, but a chance meeting a few months later resurrects the relationship as Chris and Chloe try to start a family. Match Point received its world premiere in an enthusiastically received presentation at the 2005 Cannes Film Festival. ~ Mark Deming, Rovi",76,"$23,100,000"
MirrorMask,"['Drama', 'Kids & Family', 'Science Fiction & Fantasy']",2005-09-29T17:00:00-07:00,PG,Samuel Goldwyn Films,P101M,"
    A 15-year-old girl named Helena falls into a dream world where two queens are fighting in a bizarre land of fantastical creatures and masked inhabitants. Helena is charged with retrieving the MirrorMask to revive the sickly White Queen, but as she explores the strange world, she finds herself wondering if this is really a dream or something else more dangerous.",54,"$802,961"
Miss Congeniality 2 - Armed and Fabulous,['Comedy'],2005-03-22T16:00:00-08:00,PG13,Warner Bros.,P115M,"
    FBI agent-turned-reluctant beauty queen Gracie Hart (played by Sandra Bullock) is taking on both bad guys and high glamour again in this sequel to the comedy smash Miss Congeniality. After her undercover mission at the Miss United States pageant becomes public knowledge, Gracie becomes something of a celebrity, and the FBI uses her notoriety to generate positive PR for the bureau; however, Gracie would like to get back to some solid police work, especially after scuffling with fellow female agent ""Sam"" Fuller (Regina King), who isn't impressed with Gracie. Despite their differences, the two find themselves working side by side when two of Gracie's pals from the pageant -- contest winner Cheryl Frasier (Heather Burns) and master of ceremonies Stan Fields (William Shatner) -- fall victim to kidnappers. As she did on the first film, Sandra Bullock served as both producer and star for Miss Congeniality 2: Armed and Fabulous, while director John Pasquin's credits include several episodes of the situation comedy George Lopez, also produced by Bullock. ~ Mark Deming, Rovi",15,"$47,100,000"
Miss Congeniality 2 - Armed and Fabulous,['Comedy'],2005-03-22T16:00:00-08:00,PG13,Warner Bros.,P115M,"
    FBI agent-turned-reluctant beauty queen Gracie Hart (played by Sandra Bullock) is taking on both bad guys and high glamour again in this sequel to the comedy smash Miss Congeniality. After her undercover mission at the Miss United States pageant becomes public knowledge, Gracie becomes something of a celebrity, and the FBI uses her notoriety to generate positive PR for the bureau; however, Gracie would like to get back to some solid police work, especially after scuffling with fellow female agent ""Sam"" Fuller (Regina King), who isn't impressed with Gracie. Despite their differences, the two find themselves working side by side when two of Gracie's pals from the pageant -- contest winner Cheryl Frasier (Heather Burns) and master of ceremonies Stan Fields (William Shatner) -- fall victim to kidnappers. As she did on the first film, Sandra Bullock served as both producer and star for Miss Congeniality 2: Armed and Fabulous, while director John Pasquin's credits include several episodes of the situation comedy George Lopez, also produced by Bullock. ~ Mark Deming, Rovi",15,"$47,100,000"
Monster-in-Law,"['Comedy', 'Romance']",2005-05-12T17:00:00-07:00,PG13,New Line Cinema,P102M,"
    It's not unusual to see two women fighting over the same man in a movie, only this time it's his mother and his fiancée vying for his attention in this broad comedy. While Charlotte Cantilini (Jennifer Lopez), known to her friends as Charlie, has never had much luck in her love life, one day her ship arrives in a big way when she meets Kevin Fields (Michael Vartan), a doctor who is charming, handsome, and wealthy. Kevin also has a famous mother, Viola Fields (Jane Fonda), who has enjoyed a long and successful career as a news broadcaster. When Kevin and Charlie fall head over heels for one another, he opts to propose marriage to her as he's introducing Charlie to Viola over lunch. However, as far as Viola is concerned, this could not come at a worse time -- Viola has just been fired from the anchor desk, and regards her son as the only anchor left in her life. Not willing to share Kevin with anyone, Viola sets out to sabotage his relationship with Charlie in any way she can, often with the wary assistance of her secretary Ruby (Wanda Sykes). But once Charlie gets wind of Viola's schemes, she decides two can play this game. Monster-in-Law marked Jane Fonda's return to the screen after a long leave of absence; it was her first film after co-starring with Robert De Niro in 1990's Stanley & Iris. ~ Mark Deming, Rovi",16,"$82,820,167"
Madagascar,"['Animation', 'Comedy', 'Kids & Family']",2005-05-26T17:00:00-07:00,PG,Dreamworks,P86M,"
    Four zoo animals are shipped back to their homeland by an animal rights group that feels they belong in the wild. When the ship capsizes, the animals find themselves stranded in Madagascar. Having had humans care for them their entire life, they know nothing about survival and must work together with the locals to help them fit in.",55,"$193,136,719"
Mr. & Mrs. Smith,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']",2005-06-06T17:00:00-07:00,PG13,20th Century Fox,P92M,"
    John and Jane Smith are an ordinary suburban couple with an ordinary, lifeless suburban marriage. But each of them has a secret: They are legendary assassins working for competing organizations. When the truth comes out, John and Jane end up in each other's cross-hairs.",59,"$186,200,000"
Munich,"['Drama', 'Mystery & Suspense']",2005-12-22T16:00:00-08:00,R,Universal Pictures,P163M,"
    'Munich' recounts the dramatic story of the secret Israeli squad assigned to track down and assassinate 11 Palestinians believed to have planned the 1972 Munich massacre -- and the personal toll this mission of revenge takes on the team and the man who leads it.",77,"$47,379,090"
Murderball,"['Documentary', 'Special Interest', 'Sports & Fitness']",2005-07-21T17:00:00-07:00,R,ThinkFilm,P85M,"
    Like any other great sports story, 'Murderball' features fierce rivalry, stopwatch suspense, dazzling athletic prowess, larger-than-life personalities and triumph over daunting odds. But murderball, the original name for the full-contact sport now known as quad rugby, is played by quadriplegics in armored wheelchairs. 'Murderball' is a story like no other, told by men who see the world from a different angle. Quad rugby players have suffered injuries that have left them with limited function in all four limbs. Whether by car wreck, gunshot, fist fight, rogue bacteria or any of an endless list of possible misadventures, quad rugby's young men have found their lives dramatically altered. Watching them in action -- both on court and off -- smashes every stereotype one has ever had about the handicapped. It also redefines what it is to be a man, what it is to live a full life, and what it is to be a winner.",98,"$1,328,551"
Nanny McPhee,"['Comedy', 'Kids & Family']",2006-01-26T16:00:00-08:00,PG,Universal Pictures,P99M,"
    In this dark and witty fable, Nanny McPhee (a person of an unsettling appearance and magical powers) enters the household of the recently widowed Mr. Brown and attempts to tame his seven exceedingly ill-behaved children. The children, led by the oldest boy Simon, have managed to drive away 17 previous nannies and are certain that they will have no trouble with this one. But as Nanny McPhee takes control, they begin to notice that their vile behavior now leads swiftly and magically to rather startling consequences. Her influence also extends to the family's deeper problems, including Mr. Brown's sudden and seemingly inexplicable attempts to find a new wife; an announcement by the domineering Aunt Adelaide that she intends to take one of the children away; and the sad and secret longings of their scullery maid, Evangeline. As the children's behavior begins to change, Nanny McPhee's arresting face and frame appear to change as well, creating even more questions about this mysterious stranger whom the children and their father have come to love.",73,"$47,124,400"
Must Love Dogs,"['Comedy', 'Drama', 'Romance']",2005-07-28T17:00:00-07:00,PG13,Warner Bros. Pictures,P98M,"
    A woman finds herself drafted into the battle of finding the perfect man in this romantic comedy. Sarah Nolan (Diane Lane) is a kindergarten teacher in her mid-thirties who is still dealing with the emotional aftermath of her divorce eight months ago. While her sisters, Christine (Ali Hillis) and Carol (Elizabeth Perkins), both think Sarah needs to start dating again, Sarah herself isn't so sure. Carol decides to force the issue by posting Sarah's photo and profile on an Internet dating site, and soon a number of seemingly eligible bachelors are sending her e-mails in hopes of a date. However, nearly every man she meets turns out to be a loser, with the exception of Jake (John Cusack), who is smart, good looking, and even brings along a dog for their walk in the park (though he doesn't tell her the pooch was borrowed for the occasion). However, Sarah also makes the acquaintance of Bob (Dermot Mulroney), the divorced father of one of her students, and she finds herself having to choose between two potentially worthwhile men. Meanwhile, Sarah's widowed father, Bill (Christopher Plummer), decides to give Internet dating a try, and lands himself a new steady in Dolly (Stockard Channing). Must Love Dogs is based on the best-selling novel of the same title by Claire Cook.",35,"$43,800,000"
Must Love Dogs,"['Comedy', 'Drama', 'Romance']",2005-07-28T17:00:00-07:00,PG13,Warner Bros. Pictures,P98M,"
    A woman finds herself drafted into the battle of finding the perfect man in this romantic comedy. Sarah Nolan (Diane Lane) is a kindergarten teacher in her mid-thirties who is still dealing with the emotional aftermath of her divorce eight months ago. While her sisters, Christine (Ali Hillis) and Carol (Elizabeth Perkins), both think Sarah needs to start dating again, Sarah herself isn't so sure. Carol decides to force the issue by posting Sarah's photo and profile on an Internet dating site, and soon a number of seemingly eligible bachelors are sending her e-mails in hopes of a date. However, nearly every man she meets turns out to be a loser, with the exception of Jake (John Cusack), who is smart, good looking, and even brings along a dog for their walk in the park (though he doesn't tell her the pooch was borrowed for the occasion). However, Sarah also makes the acquaintance of Bob (Dermot Mulroney), the divorced father of one of her students, and she finds herself having to choose between two potentially worthwhile men. Meanwhile, Sarah's widowed father, Bill (Christopher Plummer), decides to give Internet dating a try, and lands himself a new steady in Dolly (Stockard Channing). Must Love Dogs is based on the best-selling novel of the same title by Claire Cook.",35,"$43,800,000"
The New World,"['Action & Adventure', 'Drama', 'Romance']",2005-01-12T16:00:00-08:00,PG13,New Line Cinema,P150M,"
    This epic adventure is set amid the encounter of European and Native American cultures during the founding of the Jamestown Settlement in 1607. Inspired by the legend of John Smith and Pocahontas, this story is a sweeping exploration of love, loss and discovery -- both a celebration and an elegy of the America that was... and the America that was yet to come. Against a historically accurate Virginia backdrop, two strong-willed characters -- a passionate and noble young native woman and an ambitious soldier of fortune - are torn between the undeniable requirements of their civic duty and the inescapable demands of the human heart.",62,"$12,465,566"
North Country,['Drama'],2005-10-20T17:00:00-07:00,R,Warner Bros. Pictures,P127M,"
    This true story centers on Lori Jenson, who took a job at a Minnesota iron mine in 1975. She and other female miners endured harassment from male co-workers, ranging from verbal taunts to pornographic graffiti and worse. Jenson eventually filed suit in 1984 and won a landmark legal decision.",69,"$18,324,242"
North Country,['Drama'],2005-10-20T17:00:00-07:00,R,Warner Bros. Pictures,P127M,"
    This true story centers on Lori Jenson, who took a job at a Minnesota iron mine in 1975. She and other female miners endured harassment from male co-workers, ranging from verbal taunts to pornographic graffiti and worse. Jenson eventually filed suit in 1984 and won a landmark legal decision.",69,"$18,324,242"
Pooh's Heffalump Movie,"['Animation', 'Kids & Family']",2005-02-10T16:00:00-08:00,G,Buena Vista,P67M,"
    Something mysterious is happening in the Hundred Acre Wood. There are strange rumblings in the night, and the ground shakes and quakes. Pooh, Piglet, Tigger and Roo are told by Rabbit that it can only be one thing: Heffalumps. Whether or not Heffalumps are friends or foes remains to be seen.",79,"$18,013,938"
Pretty Persuasion,"['Comedy', 'Drama']",2005-08-11T17:00:00-07:00,R,Samuel Goldwyn Films,P110M,"
    One of the ""popular girls"" decides to put her mean streak to work in this black comedy. Kimberly Joyce (Evan Rachel Wood) is an outwardly friendly but inwardly cold and manipulative teenager who attends an exclusive private school in Beverly Hills when she's not making fun of her twentysomething stepmother (Jaime King) or listening to her business mogul father (James Woods) rant about the many people he hates. Kimberly's best friend is Brittany (Elisabeth Harnois), who doesn't seem to notice that Kimberly holds a bit of a grudge over the fact Brittany is now dating Troy (Stark Sands), Kimberly's former boyfriend. When Randa (Adi Schnall), an exchange student from the Middle East, arrives at school, Kimberly is asked to show her around, and soon she's giving her the inside scoop on the school's social hierarchy. Kimberly, Brittany, and Randa, like most of the girls at school, don't much care for Mr. Anderson (Ron Livingston), a teacher who doesn't make much of a secret of his lust for the female student body, though he doesn't do much besides look. Kimberly decides to do something about Mr. Anderson by fabricating a story that he has had inappropriate contact with her, Brittany, and Randa, and it doesn't take long for the matter to become a local scandal, though it does end up backfiring on Kimberly in time. Pretty Persuasion also features supporting performances from Selma Blair, Jane Krakowski, and Michael Hitchcock.",32,"$58,570"
Prime,"['Comedy', 'Drama']",2005-10-27T17:00:00-07:00,PG13,Universal Pictures,P105M,"
    Ben Younger's Prime tracks what happens to a variety of different people when a man and a woman fall in love with each other. Uma Thurman portrays Rafi Gardet, a 37-year-old divorcée. One day a twentysomething artist from Brooklyn named David Bloomberg (Bryan Greenberg) falls in love with the Manhattan professional. The film shows how this relationship affects people who know the two of them, including Rafi's therapist, Lisa Metzger (Meryl Streep).",50,"$22,728,025"
Racing Stripes,"['Comedy', 'Drama', 'Kids & Family']",2005-01-13T16:00:00-08:00,PG,Warner Bros. Pictures,P101M,"
    In the middle of a raging thunderstorm, a traveling circus accidentally leaves behind some very precious cargo--a baby zebra. Horse farmer Nolan Walsh, who takes him home to his young daughter Channing, rescues the gangly little foal. Once a champion thoroughbred trainer, Walsh has given up horse training for a quiet life with Channing on their modest Kentucky farm. The little zebra, or ""Stripes,"" as Channing calls him, is soon introduced to the farm's misfit troupe of barnyard residents, led by a cranky Shetland Pony named Tucker and Franny, a wise old goat who keeps the family in line. Goose, a deranged big-city pelican that's hiding out in the sticks until the heat dies down in Jersey, joins the group. The un-aptly named bloodhound Lightening keeps a lazy eye on goings-on at the farm - in between naps. The Walsh farm borders the Turfway Racetrack, where highly skilled thoroughbreds compete for horse racing's top honor, the ultra-prestigious Kentucky Crown. From the first moment Stripes lays eyes on the track, he's hooked--he knows that if he could just get the chance, he could leave all those other horses in the dust. What he doesn't know is--he's not exactly a horse. But with characteristic zeal, he devotes himself to training for the big time, with a little help from Tucker, who has coached a host of champion racehorses in the past.",35,"$49,186,871"
Racing Stripes,"['Comedy', 'Drama', 'Kids & Family']",2005-01-13T16:00:00-08:00,PG,Warner Bros. Pictures,P101M,"
    In the middle of a raging thunderstorm, a traveling circus accidentally leaves behind some very precious cargo--a baby zebra. Horse farmer Nolan Walsh, who takes him home to his young daughter Channing, rescues the gangly little foal. Once a champion thoroughbred trainer, Walsh has given up horse training for a quiet life with Channing on their modest Kentucky farm. The little zebra, or ""Stripes,"" as Channing calls him, is soon introduced to the farm's misfit troupe of barnyard residents, led by a cranky Shetland Pony named Tucker and Franny, a wise old goat who keeps the family in line. Goose, a deranged big-city pelican that's hiding out in the sticks until the heat dies down in Jersey, joins the group. The un-aptly named bloodhound Lightening keeps a lazy eye on goings-on at the farm - in between naps. The Walsh farm borders the Turfway Racetrack, where highly skilled thoroughbreds compete for horse racing's top honor, the ultra-prestigious Kentucky Crown. From the first moment Stripes lays eyes on the track, he's hooked--he knows that if he could just get the chance, he could leave all those other horses in the dust. What he doesn't know is--he's not exactly a horse. But with characteristic zeal, he devotes himself to training for the big time, with a little help from Tucker, who has coached a host of champion racehorses in the past.",35,"$49,186,871"
Proof,['Drama'],2005-09-15T17:00:00-07:00,PG13,Miramax Films,P99M,"
    A devoted daughter comes to terms with the death of her father, a brilliant mathematician whose genius was crippled by mental insanity, forcing her to face her own long-harbored fears and emotions. She adjusts to his death with the help of one of her father's former mathematical students, who searches through her father's notebooks in the hope of discovering a bit of his old brilliance. While she comes to terms with the possibility that his genius, which she has inherited, may come at a painful price, her estranged sister arrives to help settle their father's affairs.",62,"$7,468,700"
Rebound,['Comedy'],2005-06-30T17:00:00-07:00,PG,20th Century Fox,P87M,"
    A man hoping to make his way back to the big time starts by heading back to middle school in this comedy. Roy McCormick (Martin Lawrence) is one of the most successful coaches in college basketball, but he's just as famous for his hair-trigger temper as he is for molding winning teams. When an outburst of anger during a game escalates into an embarrassing public indecent, McCormick loses his job and is banned from college sports. Looking for a way to rehabilitate his image, McCormick takes a job coaching the basketball team at the middle school he used to attend, only to discover his players are a handful of misfits and losers with no skill on the court. Can McCormick mold the kids into a winning team -- and make himself into a better man along the way? Rebound also stars Wendy R. Robinson, Breckin Meyer, Horatio Sanz, Megan Mullally, and Patrick Warburton.",14,"$16,708,656"
Rize,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",2005-06-23T17:00:00-07:00,PG13,Lions Gate Films,P85M,"
    Taking advantage of unprecedented access, this documentary film brings to first light a revolutionary form of artistic expression borne from oppression. The aggressive and visually stunning dance modernizes moves indigenous to African tribal rituals and features mind-blowing, athletic movement sped up to impossible speeds. ""Rize"" tracks the fascinating evolution of the dance: we meet Tommy Johnson (Tommy the Clown), who first created the style as a response to the 1992 Rodney King riots and named it ""Clowning,"" as well as the kids who developed the movement into what they now call Krumping. The kids use dance as an alternative to gangs and hustling: they form their own troupes and paint their faces like warriors, meeting to outperform rival gangs of dancers or just to hone their skills. For the dancers, Krumping becomes a way of life -- and, because it's authentic expression (in complete opposition to the bling-bling, Hip-Hop culture), the dance becomes a vital part of who they are.",84,"$3,278,611"
Roll Bounce,"['Comedy', 'Drama']",2005-09-22T17:00:00-07:00,PG13,Fox Searchlight Pictures,P118M,"
    A young man and his pals rule supreme at their local roller-skating rink, but when the doors close, the boys venture into foreign territory -- uptown's Sweetwater Roller Rink, complete with over-the-top skaters and beautiful girls. Through his preparation for the roller-showdown of the season, the young man manages to find himself and also help his struggling dad get back on track.",64,"$17,364,602"
Rumor Has It,['Comedy'],2005-12-24T16:00:00-08:00,PG13,Warner Bros. Pictures,P97M,"
    Sarah Huttinger is in a fog. She's finally agreed to marry her boyfriend Jeff, but isn't at all sure that marriage is what she really wants. Now she's on her way home to attend her sister's wedding, which means spending a lot of time with the tennis-obsessed Pasadena family that she's never felt quite a part of. It isn't until Sarah stumbles into a well-kept family secret that she starts to question her roots and sets off in search of the man who may have the answers she's looking for.",20,"$42,900,000"
Rumor Has It,['Comedy'],2005-12-24T16:00:00-08:00,PG13,Warner Bros. Pictures,P97M,"
    Sarah Huttinger is in a fog. She's finally agreed to marry her boyfriend Jeff, but isn't at all sure that marriage is what she really wants. Now she's on her way home to attend her sister's wedding, which means spending a lot of time with the tennis-obsessed Pasadena family that she's never felt quite a part of. It isn't until Sarah stumbles into a well-kept family secret that she starts to question her roots and sets off in search of the man who may have the answers she's looking for.",20,"$42,900,000"
Sarah Silverman: Jesus Is Magic,"['Comedy', 'Musical & Performing Arts']",2005-11-10T16:00:00-08:00,R,Roadside Attractions,P72M,"
    The film comprises Sarah Silverman's performance before a live audience interwoven with stylish musical numbers and backstage intrigue. Comedians Bob Odenkirk and Brian Posehn also make appearances along with Silverman's band, The Silver Men. Known as one of the funniest and most provocative people in comedy, Silverman has been compared to the legendary Lenny Bruce. Despite the current political climate, she takes on such pitch-black topics as September 11th, unwanted body hair and the Holocaust and spins them into decidedly un-PC comedic gold.",64,"$1,206,252"
Robots,"['Animation', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",2005-03-10T16:00:00-08:00,PG,20th Century Fox,P89M,"
    A young genius wants his robots to make the world a better place. He falls in love with a very sexy executive robot and must face down a corporate tyrant and aid a master inventor.",63,"$128,107,031"
Saw II,"['Horror', 'Mystery & Suspense']",2005-10-27T17:00:00-07:00,R,Lions Gate Films,P92M,"
    Jigsaw, the diabolical criminal who captured the imagination of horror fans in the 2004 hit Saw, returns in this equally bloody sequel. Eric Matthews (Donnie Wahlberg) is a police detective who, after discovering the aftermath of a particularly gruesome murder, is convinced that Jigsaw (Tobin Bell) is up to his ugly tricks again. Matthews' hunch turns out to be correct, but the master criminal proves to be disconcertingly easy to capture. As it happens, Jigsaw is eager to be put behind bars in order to throw the authorities off his trail as he once again punishes people who in his eyes have transgressed the boundaries of acceptable moral behavior. But instead of trapping two people in a filthy dungeon where they must engage in a terrible contest in order to win their freedom, eight people have been locked away by Jigsaw, and they must torture their bodies and minds to achieve the terrible justice Jigsaw seeks. Saw II was written by Leigh Whannell, who also scripted the first film. ~ Mark Deming, Rovi",37,"$87,025,093"
Serenity,"['Action & Adventure', 'Science Fiction & Fantasy']",2005-09-29T17:00:00-07:00,PG13,Universal Pictures,P119M,"
    A band of renegades on the run in outer space get in more hot water than they anticipated in this sci-fi action-adventure adapted from the television series Firefly. In the 26th century, the galaxy has been colonized by a military force known as the Alliance, but its leadership has not gone unquestioned. The Alliance was once challenged by a league of rebels known as the Independents, but the Alliance emerged victorious after a brutal civil war, with the surviving Independents scattering around the galaxy. Also wandering the edges of the galaxy are the Reavers, who have won few allies due to their violent behavior and habit of ripping apart their enemies and eating them before they're dead. Capt. Malcolm ""Mal"" Reynolds (Nathan Fillion), who fought as an Independent in the galactic war, is the head of Serenity, a rogue frieghter ship whose crew includes Mal's first mate, Zoe (Gina Torres), who fought alongside him in the war, her husband, hotshot pilot Wash (Alan Tudyk), sunny but dependable mechanic Kaylee (Jewel Staite), and hard-nosed gunman Jayne (Adam Baldwin). The crew of Serenity wander the galaxy, taking on whatever work they can get, from criminal activities like smuggling and stealing to legitimately offering transport to travelers. Passengers aboard Serenity include professional ""companion"" Inara (Morena Baccarin) and holy man Shepherd Book (Ron Glass), but the real trouble aboard the ship comes with the arrival of Simon (Sean Maher) and his teenage sister, River Tam (Summer Glau). In time, the crew discovers that River has remarkable psychic powers and was being held captive by Alliance forces until Simon came to her rescue. Now the Alliance is hot on the heels of Serenity and its passengers, with The Operative (Chiwetel Ejiofor), a sinister Alliance tracker, leading the chase. Serenity was written and directed by Joss Whedon (in his directorial debut), creator of Firefly, which only lasted 11 weeks on the air but gained a powerful cult following who rallied to get the show released on DVD after its cancellation, leading to impressive home-video sales and and an eventual motion picture deal. A couple of months prior to Serenity's theatrical release, reruns of Firefly were picked up by the Sci-Fi channel, adding even more fans to its cult following. ~ Mark Deming, Rovi",83,"$25,335,935"
Shopgirl,"['Comedy', 'Drama', 'Romance']",2005-10-20T17:00:00-07:00,R,Touchstone Pictures,P116M,"
    Based on Steve Martin's bestselling novella, 'Shopgirl' is a funny and poignant story of love in the modern age. The film catches a glimpse inside the lives of three very different people on diverse paths, but all in search of the same thing. Mirabelle is a ""plain Jane"" overseeing the rarely frequented glove counter at Saks Fifth Avenue in Beverly Hills. An artist struggling to keep up with even the minimum payment on her credit card and student loans, she keeps to herself until a rich, handsome fifty something named Ray Porter sweeps her off her feet. Simultaneously, Mirabelle is being pursued by Jeremy, a basic bachelor who's not quite as cultured and successful as Ray. When fate steps in, the outcome may not always be a storybook ending, because in the end...it was life.",60,"$10,082,747"
Shadowboxer,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",2005-09-08T17:00:00-07:00,R,Freestyle Releasing,P93M,"
    A late-career change of heart leads to a dangerous life on the run for two seasoned assassins whose complex relationship masks a dark past in director Lee Daniels' pulpy film noir. When Mickey (Cuba Gooding Jr.) was just a child, his abusive father savagely murdered the young boy's mother shortly before being gunned down by Rose (Helen Mirren), Mickey's stepmother. Twenty years later, Mickey and Rose are not only working together as hired killers, but they have grown to become lovers as well. When Rose discovers she is dying of terminal cancer and becomes addicted to morphine, her conscience soon prompts her to reevaluate her murderous ways. Assigned the task of taking out Vickie (Vanessa Ferlito), the wife of local crime boss Clayton (Stephen Dorff), Mickey and Rose are unable to complete their mission upon discovering that Vickie is pregnant. With the tragedy of the past threatening to lock Mickey, Rose, and their reluctant charge into a tragic cycle of death and deceit, the reluctant killers attempt to make amends for their violent past by protecting Vickie's unborn child and allowing Rose one last chance at redemption.",18,"$317,695"
Son of the Mask,"['Comedy', 'Science Fiction & Fantasy']",2005-02-17T16:00:00-08:00,PG,New Line Cinema,P95M,"
    Just as aspiring cartoonist Tim Avery gets over his fear of parenthood with the birth of his new son Alvey, he quickly finds himself in over his head as his new baby is born with the magical Mask's spectacular powers. Further complicating matters is the family's jealous dog, who turns the household upside down and sparks a comical kid-versus-canine battle for control of the Mask. But unbeknownst to them all, the mischievous Norse god Loki has come looking for his Mask, and is willing to do whatever it takes to get it back.",6,"$16,967,576"
A Sound of Thunder,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']",2005-09-01T17:00:00-07:00,PG13,Warner Bros.,P102M,"
    A seemingly insignificant act may cause the fabric of history to unravel in this sci-fi adventure. Charles Hatton (Ben Kingsley) owns and operates a successful firm known as Time Safari. Thanks to time travel technology developed by Hatton's employee Sonia Rand (Catherine McCormack), Time Safari allows big game hunters to journey back to prehistoric days and shoot living, breathing dinosaurs. Rand picks out the dinosaur in question, who is soon to die, and creates a floating walkway for the hunters, so the impact of their presence will not be felt by the land around them. But on one expedition, things go horribly wrong when a nervous hunter steps off the walkway and crushes a butterfly, a tiny act that proves to have massive consequences over the course of several million years. As the earth's climate and animal life begin to mutate due to this shift in natural history, Time Safari's leading hunting guide, Travis Ryer (Edward Burns), works beside Rand in a desperate attempt to halt the ""ripples of time"" before modern civilization completely collapses. A Sound of Thunder was based on a classic short story by pioneering science fiction author Ray Bradbury.",6,"$1,717,608"
Stay,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",2005-10-20T17:00:00-07:00,R,20th Century Fox,P99M,"
    Marc Forster's psychological thriller Stay stars Ewan McGregor as Sam Foster, a psychologist who begins to feel his grip on reality slipping away because of one of his patients. Ryan Gosling plays Henry Letham, a patient who has been offering disturbing predictions that have come true. When he claims that Henry will kill himself in three days, the psychiatrist sets off on a journey to help him. Written by David Benioff, the film co-stars Naomi Watts.",27,"$3,349,167"
Supercross,"['Action & Adventure', 'Drama']",2005-08-16T17:00:00-07:00,PG13,20th Century Fox,P81M,"
    Two siblings find themselves competing on and off the racetrack in this action-packed drama. K.C. Carlyle (Steve Howey) and his kid brother, Trip (Mike Vogel), are both racers in the rough and tumble world of supercross, a revved-up variation on motocross racing in which specially modified motorcycle negotiate specially built dirt tracks that send riders through tricky twists and turns, over rough terrain, and off high-flying jumps. Both are talented racers, but K.C. has a wilder and more reckless approach, while Trip follows a more cautious path. A more profound difference between them arises when K.C. is offered a lucrative deal to ride for a factory-sponsored team; he takes the deal, and leaves his brother behind to race on his own dime. However, when an accident takes Trip out of the running on the supercross circuit, he and K.C. set aside their differences as Trip helps coach his older brother so he can succeed in his drive to the championship. Made with the cooperation of a leading supercross race promoter, Supercross: The Movie also stars Sophia Bush and Cameron Richardson as the brothers' love interests, and Robert Carradine as a determined race coach.",5,"$3,045,751"
